occurrence_shops,occurrence_amenities,distribution_shop,distribution_amenities,proximity_shops,proximity_amenities,proximity_transport,correlation_shops_amenities
0,43,NA,-0.148765114308517,NA,350.348724825043,NA,0
0,18,NA,NA,NA,324.386082276564,NA,0
0,24,NA,-0.102651731748673,NA,220.469461334324,NA,0
6,105,NA,-0.0209878499950174,404.425069935539,458.701229983687,NA,0.0571428571428571
0,86,NA,-0.21185534148147,NA,375.123217385267,NA,0
0,162,NA,-0.0302851626259435,NA,419.714472715017,NA,0
9,45,NA,-0.0737835273423496,546.014007229695,435.841553451487,NA,0.2
0,129,NA,-0.0277458856054345,NA,457.701039704503,NA,0
0,8,NA,NA,NA,515.305073158603,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,6,NA,NA,NA,205.586045514532,NA,0
2,59,NA,-0.380905450788819,365.940741655817,302.130453612016,NA,0.0338983050847458
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,4,NA,NA,NA,505.543583217328,NA,0
0,37,NA,-0.334128275128096,NA,467.7696323016,NA,0
0,0,NA,NA,NA,NA,NA,NA
5,42,-0.183234447553257,-0.149830675273493,226.594043396209,352.652464367477,NA,0.119047619047619
0,19,NA,-0.167214414088669,NA,546.239748170305,NA,0
0,0,NA,NA,NA,NA,NA,NA
87,313,-0.0299741814401429,-0.076004532104054,395.018374475926,396.400897942638,NA,0.277955271565495
8,38,-0.774739565098509,-0.0629324190588031,282.639304090899,221.164127816955,NA,0.210526315789474
0,0,NA,NA,NA,NA,NA,NA
1,46,NA,-0.0420039334572318,180.261822281542,284.396406631978,NA,0.0217391304347826
10,53,NA,-0.10911858686391,468.228805238245,372.891681677084,NA,0.188679245283019
22,136,-0.681297775476923,-0.0650823297958366,451.769178682148,408.237662249869,NA,0.161764705882353
20,74,-0.521605756952109,-0.180683864822946,512.804253577697,434.064895466872,NA,0.27027027027027
0,111,NA,-0.545591336915014,NA,447.671280955769,NA,0
1,4,NA,NA,57.3636432725893,75.8687181722986,NA,0.25
0,0,NA,NA,NA,NA,NA,NA
0,4,NA,NA,NA,202.138959147785,NA,0
1,171,NA,-0.0105896376045938,532.121423513288,363.092626751344,NA,0.00584795321637427
1,21,NA,-0.048629740837347,508.192558281739,454.581514867154,NA,0.0476190476190476
2,10,NA,NA,551.200537339538,475.449828777936,NA,0.2
8,82,-0.409053925683269,-0.0942468171918599,310.405178879589,258.920725579933,NA,0.0975609756097561
8,62,-0.089465085351106,-0.0728551140618207,494.085043376781,351.350421260444,NA,0.129032258064516
0,21,NA,-0.308625528551734,NA,345.023027121334,NA,0
7,53,-0.151250633907678,-0.271866527179608,196.448649214372,390.457847323097,NA,0.132075471698113
1,27,NA,-0.580382679753189,124.188729444794,394.175513707989,NA,0.037037037037037
0,1,NA,NA,NA,178.773878654111,NA,0
1,28,NA,-0.130880623274897,159.017209617985,306.2817163788,NA,0.0357142857142857
5,68,-0.250401546329333,-0.267100056425759,494.0065675081,383.047918330751,NA,0.0735294117647059
8,179,-0.0946893344322746,-0.0255744320384166,406.266867757503,344.66782027189,NA,0.0446927374301676
12,276,-0.07731502430754,-0.213639093575285,441.24235867775,409.631204775715,NA,0.0434782608695652
3,295,-0.302038677059379,-0.0305719746814841,351.449500058011,306.649048906397,NA,0.0101694915254237
1,0,NA,NA,506.437737602122,NA,NA,Inf
79,169,-0.0811016767535416,-0.0375808889218586,261.302640153593,310.793293761944,NA,0.467455621301775
334,275,-0.066825018514978,-0.0421407833720729,378.518828507106,388.141591283226,NA,1.21454545454545
211,449,-0.136740004286922,-0.0320129474133564,479.114298640939,351.434625391494,NA,0.469933184855234
2,44,NA,-0.194257641319967,237.848487242291,455.125205402161,NA,0.0454545454545455
3,47,NA,-0.493293858583564,274.381071981586,369.731572868233,NA,0.0638297872340425
0,30,NA,NA,NA,352.48303712337,NA,0
0,73,NA,-0.155439367936997,NA,428.330980108444,NA,0
5,142,NA,-0.186798973966992,362.748025788212,309.844444153768,NA,0.0352112676056338
39,140,-0.0908496900958801,-0.661940436244916,380.229461044083,420.736296114102,NA,0.278571428571429
1,51,NA,-0.134161190675093,562.713509607378,457.468320133676,NA,0.0196078431372549
17,39,-0.529878696309941,-0.168275823584685,173.318260508259,247.664255463075,NA,0.435897435897436
0,0,NA,NA,NA,NA,NA,NA
0,51,NA,-0.0848204370842758,NA,353.438328535792,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,3,NA,NA,NA,453.835951402307,NA,0
5,28,NA,-0.113558163528252,531.513442577272,338.904010468525,NA,0.178571428571429
19,103,-0.262190579356113,-0.136958632927689,278.410396982853,248.707851256406,NA,0.184466019417476
0,43,NA,-0.129761483940215,NA,363.249268439921,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,6,NA,NA,NA,425.859328067585,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,35,NA,-0.0770196080376283,NA,375.110072944147,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,1,NA,NA,NA,355.621683734072,NA,0
0,5,NA,-0.818823657401158,NA,421.769741368335,NA,0
0,10,NA,-0.436163740414044,NA,279.146824481285,NA,0
9,92,-0.401128372064619,-0.116131307398812,484.760839198755,410.913103070174,NA,0.0978260869565217
2,0,NA,NA,186.701847692464,NA,NA,Inf
0,0,NA,NA,NA,NA,NA,NA
0,1,NA,NA,NA,440.753987251058,NA,0
0,1,NA,NA,NA,139.183814286876,NA,0
0,0,NA,NA,NA,NA,NA,NA
1,24,NA,NA,391.768833595974,119.410694808276,NA,0.0416666666666667
26,122,-0.105947009832562,-0.376889614187061,297.1397424849,363.79803773137,NA,0.213114754098361
34,43,-0.185412127115497,-0.0690602991718487,406.931143166731,436.909504061222,NA,0.790697674418605
0,12,NA,-0.248411429570978,NA,504.449411576674,NA,0
0,88,NA,-0.404433645750619,NA,315.531928828175,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,17,NA,-0.183543254660408,NA,379.596820726431,NA,0
0,9,NA,NA,NA,352.70482153449,NA,0
0,11,NA,-0.0793102631365769,NA,348.525465025927,NA,0
0,35,NA,-0.208071898498687,NA,297.041969813332,NA,0
58,30,-0.0805961618278192,-0.228255951444227,466.163101865082,317.281481446954,NA,1.93333333333333
233,588,-0.0245782061852465,-0.107556454589011,267.453523337682,322.725810674471,NA,0.396258503401361
3,76,-0.569807752131059,-0.123554787803721,388.515386312762,389.842714158582,NA,0.0394736842105263
0,6,NA,NA,NA,388.265769937289,NA,0
0,27,NA,-0.328930070235658,NA,441.445206004298,NA,0
0,35,NA,NA,NA,315.715451512349,NA,0
8,50,-0.0281151002953164,-0.148779326123448,477.699163057868,465.081101905306,NA,0.16
0,37,NA,-0.287095080914339,NA,292.186444930613,NA,0
0,128,NA,-0.0864666613002144,NA,230.725859606825,NA,0
0,139,NA,-0.0984941442827244,NA,425.524408616579,NA,0
