,occurrence_shops,occurrence_amenities,occurence_bus_stops,dmat_shops,dmat_amenities,dmat_shops_amenities,correlation_shops_amenities
min,0,0,0,1.07681896938057,0.958640044280715,0.958640044280715,0
mean,8.44220084022225,28.5725708090527,0.413199620544789,94.5514233372761,135.696618397437,136.15670590333,Inf
median,0,9,0,88.7434357326104,142.403760924029,142.992790704417,0
max,892,1600,133,271.714397411841,278.769482299536,279.752541613722,Inf
