,occurrence_shops_500m,occurrence_amenities_500m,occurrence_shops,occurrence_amenities,occurrence_junctions_5000m,occurrence_highways_5000m,distribution_shop,distribution_amenities,distribution_shop_500ms,distribution_amenities_500m,proximity_shops_500m,proximity_amenities_500m,proximity_shops,proximity_amenities,proximity_transport_500m,proximity_junction_5km,proximity_highway_5km,correlation_shops_amenities
min,4,13,4,0,0,7,-0.235596933355266,-0.574549596275948,-0.514793508257907,-0.261013327819373,21.6419852486251,141.312804365575,5.83230408770652,6.59578037694495,47.6485274674494,2062.13244132961,1834.51494289057,0.607142857142857
mean,381.492063492063,651.285714285714,64.2063492063492,17.8571428571429,5.95238095238095,269.031746031746,-0.056632672040542,-0.202654289061012,-0.0670745716596068,-0.0373463079431317,235.171179580025,328.162936902709,62.5904523747794,62.7456041644389,291.926471398074,3496.63381190695,3237.74144380359,Inf
median,259,466,36,8,4,183,-0.042160497272845,-0.162211802201354,-0.0407506010880723,-0.0279121090222413,225.579214308188,330.206516643575,52.4807204905191,54.2420978135584,304.278380786934,3391.77819018544,3256.82493720206,3.625
max,2331,3537,322,141,21,636,-0.00271746500192913,-0.0399999926118977,-0.0056061184144522,-0.00448270454378959,399.704149585467,464.781614959536,179.027820258736,185.247190046827,537.131960275393,5074.52548812725,4555.6668570009,Inf
