occurrence_shops_500m,occurrence_amenities_500m,occurrence_shops,occurrence_amenities,occurrence_junctions_5000m,occurrence_highways_5000m,distribution_shop,distribution_amenities,distribution_shop_500ms,distribution_amenities_500m,proximity_shops_500m,proximity_amenities_500m,proximity_shops,proximity_amenities,proximity_transport_500m,proximity_junction_5km,proximity_highway_5km,correlation_shops_amenities
1697,1150,35,3,0,543,-0.00553453084060559,NA,-0.0483657590108601,-0.00634121538046376,306.410344632297,336.08254551045,16.2197906782483,17.3409498389397,NA,NA,3061.19014934857,11.6666666666667
61,286,4,1,12,541,NA,NA,-0.0316202749285362,-0.0272613691721007,399.704149585467,376.812314358447,24.0568817982448,26.9409838704257,302.384462523073,4141.64982003381,2918.28277267363,4
19,102,14,5,3,41,NA,NA,NA,-0.0703784042675133,138.286711322861,220.742961874999,51.9332447178238,41.5033482583937,NA,2187.67439285736,1834.51494289057,2.8
157,314,83,1,9,259,-0.0207542228636525,NA,-0.0671697570949664,-0.0632506824632053,275.500283889212,353.224905204593,109.759051464668,134.276350504144,414.992031932832,3344.42256660669,2748.97044733346,83
83,240,27,9,6,115,-0.0376441966322508,-0.292607053713481,-0.037284740839772,-0.0217312876059328,205.580588018103,332.612134379882,73.78745261061,74.6731853959491,NA,2062.13244132961,2266.59589883071,3
299,149,245,37,0,113,-0.0295569633020886,-0.141620617600548,-0.0273223802188939,-0.0279121090222413,89.574178024601,265.15852523943,65.3599142560501,82.8437975281347,467.557738501707,NA,3387.3800376446,6.62162162162162
798,2027,172,2,1,636,-0.00271746500192913,NA,-0.0298030974505153,-0.00448270454378959,314.622455880664,346.044969414104,34.4337984143529,41.4496479402663,233.288916655883,4974.93196787941,3048.33881767968,86
115,311,31,17,15,124,-0.0693167716119693,NA,-0.0663844239004193,-0.034442027426217,203.049939942124,271.336912692918,57.7010277347436,53.7298665203281,278.367559191283,2891.18660465104,3237.79904244473,1.82352941176471
111,432,26,0,7,298,NA,NA,-0.11583609353951,-0.0374451097411123,156.05980623809,356.856069574739,42.8035157254121,NA,NA,3995.99869020877,3525.0908650196,NA
206,647,36,24,8,85,-0.0798379355493785,-0.170127249643456,-0.0281432809139304,-0.0565717741999634,211.50252043652,246.226736814984,58.9579046172044,58.5685794526926,NA,3824.85819353719,3636.49201165564,1.5
360,578,14,5,0,508,-0.147221038658422,NA,-0.113471334545554,-0.14565402269902,190.135690585577,275.173062713112,13.3834319515943,14.643335998877,NA,NA,3195.49273985613,2.8
